scenario_id,scenario_name,run_id,timestep_index,timestamp_seconds,total_occupancy,occupancy_zone_1,occupancy_zone_2,occupancy_zone_3,occupancy_zone_4,cpu_util_comp_1,gpu_util_comp_1,workload_cat_comp_1,heat_w_comp_1,cpu_util_comp_2,gpu_util_comp_2,workload_cat_comp_2,heat_w_comp_2,cpu_util_comp_3,gpu_util_comp_3,workload_cat_comp_3,heat_w_comp_3,cpu_util_comp_4,gpu_util_comp_4,workload_cat_comp_4,heat_w_comp_4,cpu_util_comp_5,gpu_util_comp_5,workload_cat_comp_5,heat_w_comp_5,cpu_util_comp_6,gpu_util_comp_6,workload_cat_comp_6,heat_w_comp_6,cpu_util_comp_7,gpu_util_comp_7,workload_cat_comp_7,heat_w_comp_7,cpu_util_comp_8,gpu_util_comp_8,workload_cat_comp_8,heat_w_comp_8,cpu_util_comp_9,gpu_util_comp_9,workload_cat_comp_9,heat_w_comp_9,cpu_util_comp_10,gpu_util_comp_10,workload_cat_comp_10,heat_w_comp_10,outdoor_temperature_c,relative_humidity_percent,solar_irradiance_w_m2,cooling_level_ac1,setpoint_ac1,state_ac1,cooling_level_ac2,setpoint_ac2,state_ac2,cooling_level_ac3,setpoint_ac3,state_ac3,cooling_level_ac4,setpoint_ac4,state_ac4,zone_1_temperature_c,zone_2_temperature_c,zone_3_temperature_c,zone_4_temperature_c,room_average_temperature_c,max_zone_temperature_c,min_zone_temperature_c,temperature_gradient_c,comp_heat_zone_1_w,comp_heat_zone_2_w,comp_heat_zone_3_w,comp_heat_zone_4_w,occ_heat_zone_1_w,occ_heat_zone_2_w,occ_heat_zone_3_w,occ_heat_zone_4_w,env_heat_zone_1_w,env_heat_zone_2_w,env_heat_zone_3_w,env_heat_zone_4_w,interzone_heat_zone_1_w,interzone_heat_zone_2_w,interzone_heat_zone_3_w,interzone_heat_zone_4_w,hvac_cooling_zone_1_w,hvac_cooling_zone_2_w,hvac_cooling_zone_3_w,hvac_cooling_zone_4_w,net_heat_zone_1_w,net_heat_zone_2_w,net_heat_zone_3_w,net_heat_zone_4_w,total_computational_heat_w,total_occupancy_heat_w,total_envelope_heat_w,total_hvac_cooling_w,total_net_heat_w,optimal_cooling_ac1,optimal_cooling_ac2,optimal_cooling_ac3,optimal_cooling_ac4,optimal_temperature_c,optimal_hvac_action,target_objective_cost
5,Opposing Thermal Zones,0,0,0.0,6,1,2,2,1,32.05,22.2,GENERAL,118.36,31.17,17.21,GENERAL,109.78,30.09,19.95,GENERAL,112.54,30.04,21.3,GENERAL,114.5,14.63,4.94,LIGHT,70.7,14.95,4.84,LIGHT,70.95,17.12,1.71,LIGHT,68.97,13.42,4.82,LIGHT,69.0,30.8,21.73,GENERAL,116.09,29.89,18.05,LIGHT,109.44,27.5,54.0,200.0,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.772,21.769,21.77,21.769,21.77,21.772,21.769,0.003,455.18,141.65,137.97,225.53,85.0,170.0,170.0,85.0,198.09,248.09,298.09,248.09,0.0,0.0,0.0,0.0,875.0,875.0,875.0,875.0,-136.73,-315.26,-268.94,-316.38,960.33,510.0,992.36,3500.0,-1037.31,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.7158
5,Opposing Thermal Zones,0,1,10.0,6,1,2,2,1,27.61,17.9,LIGHT,106.36,32.18,21.55,GENERAL,117.55,31.46,22.66,GENERAL,118.31,29.19,18.11,LIGHT,108.65,13.87,4.15,LIGHT,68.56,14.9,4.82,LIGHT,70.86,14.04,5.44,LIGHT,70.71,13.79,5.82,LIGHT,70.97,32.06,21.96,GENERAL,118.02,30.34,18.41,GENERAL,110.54,27.5,54.0,200.2,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.769,21.763,21.765,21.763,21.765,21.769,21.763,0.006,450.87,139.42,141.68,228.56,85.0,170.0,170.0,85.0,198.23,248.34,298.37,248.34,-0.69,0.44,-0.19,0.44,875.0,875.0,875.0,875.0,-141.59,-316.8,-265.14,-312.66,960.53,510.0,993.28,3500.0,-1036.19,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.7422
5,Opposing Thermal Zones,0,2,20.0,6,1,2,2,1,31.87,17.63,GENERAL,111.28,31.79,19.49,GENERAL,113.97,31.69,21.5,GENERAL,116.86,31.07,18.45,GENERAL,111.51,16.83,1.45,LIGHT,68.21,12.64,5.83,LIGHT,69.55,18.74,3.14,LIGHT,73.13,18.2,5.79,LIGHT,76.44,29.82,19.77,LIGHT,111.93,28.07,21.18,LIGHT,111.86,27.51,54.0,200.3,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.766,21.757,21.76,21.757,21.76,21.766,21.757,0.009,453.62,137.76,149.57,223.79,85.0,170.0,170.0,85.0,198.54,248.75,298.78,248.75,-1.38,0.88,-0.38,0.88,875.0,875.0,875.0,875.0,-139.22,-317.61,-257.03,-316.58,964.74,510.0,994.82,3500.0,-1030.44,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.7683
5,Opposing Thermal Zones,0,3,30.0,6,1,2,2,1,28.11,21.95,LIGHT,113.06,29.03,17.91,LIGHT,108.15,29.1,21.04,LIGHT,112.94,28.7,17.78,LIGHT,107.55,16.54,2.2,LIGHT,68.97,17.71,4.73,LIGHT,74.23,13.75,5.13,LIGHT,69.88,15.11,2.56,LIGHT,67.73,31.1,21.72,GENERAL,116.45,32.1,18.54,GENERAL,112.94,27.51,54.0,200.5,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.763,21.751,21.755,21.751,21.755,21.763,21.751,0.012,441.7,143.2,137.61,229.39,85.0,170.0,170.0,85.0,198.69,249.0,299.06,249.0,-2.07,1.32,-0.57,1.32,875.0,875.0,875.0,875.0,-151.68,-311.48,-268.9,-310.29,951.9,510.0,995.75,3500.0,-1042.35,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.797
5,Opposing Thermal Zones,0,4,40.0,6,1,2,2,1,32.74,20.04,GENERAL,115.99,30.82,21.04,GENERAL,115.09,28.97,22.78,LIGHT,115.38,27.68,19.07,LIGHT,108.2,17.28,2.27,LIGHT,70.0,12.48,4.46,LIGHT,67.29,14.32,4.9,LIGHT,70.25,12.92,5.24,LIGHT,69.01,28.44,21.01,LIGHT,112.06,31.21,22.13,GENERAL,117.21,27.51,54.0,200.7,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.76,21.745,21.75,21.745,21.75,21.76,21.745,0.015,454.66,137.29,139.26,229.27,85.0,170.0,170.0,85.0,198.82,249.26,299.34,249.26,-2.76,1.76,-0.76,1.76,875.0,875.0,875.0,875.0,-139.28,-316.69,-267.16,-309.71,960.48,510.0,996.68,3500.0,-1032.84,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.8233
5,Opposing Thermal Zones,0,5,50.0,6,1,2,2,1,31.02,21.42,GENERAL,115.91,30.62,19.79,GENERAL,112.96,31.46,20.77,GENERAL,115.48,31.63,17.24,GENERAL,110.4,13.65,5.72,LIGHT,70.64,16.81,3.74,LIGHT,71.62,16.7,4.75,LIGHT,73.0,12.55,1.41,LIGHT,62.8,28.93,20.41,LIGHT,111.78,30.7,20.91,GENERAL,114.74,27.52,54.0,200.8,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.757,21.739,21.744,21.739,21.745,21.757,21.739,0.018,454.75,142.26,135.8,226.52,85.0,170.0,170.0,85.0,199.14,249.66,299.75,249.66,-3.45,2.2,-0.95,2.2,875.0,875.0,875.0,875.0,-139.56,-310.88,-270.4,-311.62,959.33,510.0,998.21,3500.0,-1032.46,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.8522
5,Opposing Thermal Zones,0,6,60.0,6,1,2,2,1,30.84,20.88,GENERAL,114.87,32.77,22.56,GENERAL,119.8,29.21,21.16,LIGHT,113.25,29.36,22.87,LIGHT,116.0,17.01,1.04,LIGHT,67.82,16.07,5.29,LIGHT,73.02,18.03,3.04,LIGHT,72.1,12.18,4.46,LIGHT,66.92,32.87,20.2,GENERAL,116.39,28.04,20.92,LIGHT,111.43,27.52,54.0,201.0,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.754,21.733,21.739,21.733,21.74,21.754,21.733,0.021,463.92,140.84,139.02,227.82,85.0,170.0,170.0,85.0,199.28,249.91,300.06,249.91,-4.16,2.53,-0.9,2.53,875.0,875.0,875.0,875.0,-130.96,-311.72,-266.82,-309.74,971.6,510.0,999.16,3500.0,-1019.24,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.8781
5,Opposing Thermal Zones,0,7,70.0,6,1,2,2,1,27.57,17.31,LIGHT,105.43,32.48,20.12,GENERAL,115.78,28.83,18.19,LIGHT,108.32,32.23,18.58,GENERAL,113.16,17.41,2.49,LIGHT,70.5,16.6,1.1,LIGHT,67.4,13.16,2.46,LIGHT,65.14,13.65,3.31,LIGHT,67.03,30.58,18.7,GENERAL,111.27,28.11,20.57,LIGHT,110.99,27.52,54.0,201.2,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.751,21.727,21.733,21.727,21.735,21.751,21.727,0.024,442.69,137.9,132.17,222.26,85.0,170.0,170.0,85.0,199.42,250.17,300.34,250.17,-4.85,2.97,-1.1,2.97,875.0,875.0,875.0,875.0,-152.74,-313.96,-273.59,-314.6,935.02,510.0,1000.1,3500.0,-1054.89,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.9132
5,Opposing Thermal Zones,0,8,80.0,6,1,2,2,1,31.46,22.65,GENERAL,118.3,32.62,18.95,GENERAL,114.2,31.8,22.43,GENERAL,118.4,31.32,22.03,GENERAL,117.2,15.63,4.73,LIGHT,71.63,14.59,4.3,LIGHT,69.69,17.96,1.48,LIGHT,69.67,16.91,1.14,LIGHT,67.85,27.45,21.37,LIGHT,111.37,32.71,19.85,GENERAL,115.66,27.53,54.0,201.3,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.748,21.721,21.728,21.721,21.73,21.748,21.721,0.027,468.1,141.32,137.52,227.03,85.0,170.0,170.0,85.0,199.74,250.57,300.78,250.57,-5.55,3.3,-1.05,3.3,875.0,875.0,875.0,875.0,-127.71,-309.81,-267.75,-309.1,973.97,510.0,1001.66,3500.0,-1014.37,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.9354
5,Opposing Thermal Zones,0,9,90.0,6,1,2,2,1,31.95,18.14,GENERAL,112.15,28.97,17.11,LIGHT,106.88,31.97,19.85,GENERAL,114.74,27.72,20.01,LIGHT,109.67,15.4,5.55,LIGHT,72.58,17.28,4.35,LIGHT,73.12,17.04,4.83,LIGHT,73.55,12.81,5.5,LIGHT,69.26,27.83,21.24,LIGHT,111.65,32.61,21.57,GENERAL,118.12,27.53,54.0,201.5,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,0.25,22.0,COOLING,21.745,21.715,21.723,21.715,21.724,21.745,21.715,0.03,443.44,145.7,142.81,229.77,85.0,170.0,170.0,85.0,199.87,250.83,301.05,250.83,-6.24,3.74,-1.24,3.74,875.0,875.0,875.0,875.0,-152.93,-304.73,-262.38,-305.66,961.72,510.0,1002.58,3500.0,-1025.7,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,1.965
