scenario_id,scenario_name,run_id,timestep_index,timestamp_seconds,total_occupancy,occupancy_zone_1,occupancy_zone_2,occupancy_zone_3,occupancy_zone_4,cpu_util_comp_1,gpu_util_comp_1,workload_cat_comp_1,heat_w_comp_1,cpu_util_comp_2,gpu_util_comp_2,workload_cat_comp_2,heat_w_comp_2,cpu_util_comp_3,gpu_util_comp_3,workload_cat_comp_3,heat_w_comp_3,cpu_util_comp_4,gpu_util_comp_4,workload_cat_comp_4,heat_w_comp_4,cpu_util_comp_5,gpu_util_comp_5,workload_cat_comp_5,heat_w_comp_5,cpu_util_comp_6,gpu_util_comp_6,workload_cat_comp_6,heat_w_comp_6,cpu_util_comp_7,gpu_util_comp_7,workload_cat_comp_7,heat_w_comp_7,cpu_util_comp_8,gpu_util_comp_8,workload_cat_comp_8,heat_w_comp_8,cpu_util_comp_9,gpu_util_comp_9,workload_cat_comp_9,heat_w_comp_9,cpu_util_comp_10,gpu_util_comp_10,workload_cat_comp_10,heat_w_comp_10,outdoor_temperature_c,relative_humidity_percent,solar_irradiance_w_m2,cooling_level_ac1,setpoint_ac1,state_ac1,cooling_level_ac2,setpoint_ac2,state_ac2,cooling_level_ac3,setpoint_ac3,state_ac3,cooling_level_ac4,setpoint_ac4,state_ac4,zone_1_temperature_c,zone_2_temperature_c,zone_3_temperature_c,zone_4_temperature_c,room_average_temperature_c,max_zone_temperature_c,min_zone_temperature_c,temperature_gradient_c,comp_heat_zone_1_w,comp_heat_zone_2_w,comp_heat_zone_3_w,comp_heat_zone_4_w,occ_heat_zone_1_w,occ_heat_zone_2_w,occ_heat_zone_3_w,occ_heat_zone_4_w,env_heat_zone_1_w,env_heat_zone_2_w,env_heat_zone_3_w,env_heat_zone_4_w,interzone_heat_zone_1_w,interzone_heat_zone_2_w,interzone_heat_zone_3_w,interzone_heat_zone_4_w,hvac_cooling_zone_1_w,hvac_cooling_zone_2_w,hvac_cooling_zone_3_w,hvac_cooling_zone_4_w,net_heat_zone_1_w,net_heat_zone_2_w,net_heat_zone_3_w,net_heat_zone_4_w,total_computational_heat_w,total_occupancy_heat_w,total_envelope_heat_w,total_hvac_cooling_w,total_net_heat_w,optimal_cooling_ac1,optimal_cooling_ac2,optimal_cooling_ac3,optimal_cooling_ac4,optimal_temperature_c,optimal_hvac_action,target_objective_cost
3,Distributed Heavy Compute,0,0,0.0,14,3,3,4,4,36.61,17.25,GENERAL,116.64,32.4,17.78,GENERAL,112.17,36.71,16.92,GENERAL,116.27,34.47,20.89,GENERAL,119.42,35.13,22.27,GENERAL,122.32,36.17,19.26,GENERAL,119.1,37.82,17.08,GENERAL,117.9,32.79,17.73,GENERAL,112.58,32.6,20.0,GENERAL,115.75,32.41,23.03,GENERAL,120.06,28.0,50.0,220.0,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.968,21.964,21.967,21.966,21.966,21.968,21.964,0.004,464.5,241.42,230.48,235.81,255.0,255.0,340.0,340.0,212.15,267.15,322.15,267.15,0.0,0.0,0.0,0.0,1050.0,1050.0,1050.0,1050.0,-118.35,-286.43,-157.37,-207.04,1172.21,1190.0,1068.6,4200.0,-769.19,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7368
3,Distributed Heavy Compute,0,1,10.0,14,3,3,4,4,37.8,21.71,GENERAL,124.81,34.32,16.76,GENERAL,113.04,31.8,17.62,GENERAL,111.18,32.1,19.78,GENERAL,114.8,32.09,19.27,GENERAL,114.02,37.46,19.31,GENERAL,120.79,37.54,17.82,GENERAL,118.66,32.76,22.77,GENERAL,120.11,37.02,21.99,GENERAL,124.26,33.84,21.01,GENERAL,118.82,28.0,50.0,220.1,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.966,21.958,21.964,21.962,21.962,21.966,21.958,0.008,463.83,234.81,238.77,243.08,255.0,255.0,340.0,340.0,212.23,267.33,322.3,267.29,-0.68,0.8,-0.42,0.3,1050.0,1050.0,1050.0,1050.0,-119.62,-292.06,-149.35,-199.33,1180.49,1190.0,1069.15,4200.0,-760.36,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7494
3,Distributed Heavy Compute,0,2,20.0,14,3,3,4,4,37.08,22.27,GENERAL,124.75,32.71,19.15,GENERAL,114.61,33.85,19.48,GENERAL,116.53,33.72,21.07,GENERAL,118.76,36.85,20.48,GENERAL,121.78,35.36,22.38,GENERAL,122.77,31.74,22.81,GENERAL,118.89,32.61,20.21,GENERAL,116.08,33.95,18.17,GENERAL,114.69,38.4,19.27,GENERAL,121.91,28.01,50.0,220.3,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.964,21.952,21.961,21.958,21.959,21.964,21.952,0.012,474.65,244.55,234.97,236.6,255.0,255.0,340.0,340.0,212.56,267.81,322.75,267.72,-1.35,1.6,-0.85,0.6,1050.0,1050.0,1050.0,1050.0,-109.14,-281.04,-153.13,-205.08,1190.77,1190.0,1070.84,4200.0,-748.39,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7618
3,Distributed Heavy Compute,0,3,30.0,14,3,3,4,4,36.89,21.06,GENERAL,122.7,31.57,19.03,GENERAL,113.01,32.39,17.26,GENERAL,111.38,37.65,20.21,GENERAL,122.38,37.81,19.83,GENERAL,122.01,35.98,17.42,GENERAL,116.1,35.93,20.11,GENERAL,120.08,34.93,17.65,GENERAL,115.14,33.53,19.55,GENERAL,116.24,37.98,18.01,GENERAL,119.49,28.01,50.0,220.4,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.962,21.946,21.958,21.954,21.955,21.962,21.946,0.016,469.47,238.11,235.22,235.73,255.0,255.0,340.0,340.0,212.64,268.0,322.9,267.87,-2.02,2.4,-1.27,0.9,1050.0,1050.0,1050.0,1050.0,-114.91,-286.49,-153.15,-205.5,1178.53,1190.0,1071.41,4200.0,-760.05,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7769
3,Distributed Heavy Compute,0,4,40.0,14,3,3,4,4,36.04,22.57,GENERAL,123.91,33.24,18.55,GENERAL,114.38,32.21,17.96,GENERAL,112.2,35.79,18.28,GENERAL,117.16,32.92,18.79,GENERAL,114.34,36.39,21.92,GENERAL,123.37,31.57,18.8,GENERAL,112.66,34.93,23.3,GENERAL,123.61,32.43,17.99,GENERAL,112.52,37.01,17.21,GENERAL,117.08,28.01,50.0,220.6,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.96,21.94,21.955,21.95,21.951,21.96,21.94,0.02,467.65,237.71,236.27,229.6,255.0,255.0,340.0,340.0,212.75,268.26,323.14,268.08,-2.7,3.2,-1.7,1.2,1050.0,1050.0,1050.0,1050.0,-117.3,-285.83,-152.29,-211.12,1171.23,1190.0,1072.23,4200.0,-766.54,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.7916
3,Distributed Heavy Compute,0,5,50.0,14,3,3,4,4,34.11,21.4,GENERAL,119.74,34.53,19.33,GENERAL,117.16,36.54,21.37,GENERAL,122.73,36.52,20.86,GENERAL,121.94,36.83,19.6,GENERAL,120.44,33.47,18.56,GENERAL,114.68,32.65,22.68,GENERAL,119.83,33.81,21.99,GENERAL,120.25,37.34,21.15,GENERAL,123.4,32.93,20.91,GENERAL,117.53,28.02,50.0,220.7,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.958,21.934,21.952,21.946,21.948,21.958,21.934,0.024,481.57,235.12,240.08,240.93,255.0,255.0,340.0,340.0,213.05,268.66,323.51,268.44,-3.38,4.0,-2.12,1.5,1050.0,1050.0,1050.0,1050.0,-103.76,-287.22,-148.53,-199.13,1197.7,1190.0,1073.66,4200.0,-738.64,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8031
3,Distributed Heavy Compute,0,6,60.0,14,3,3,4,4,36.3,19.28,GENERAL,119.3,32.57,17.84,GENERAL,112.47,37.73,19.7,GENERAL,121.71,35.99,21.47,GENERAL,122.19,32.44,22.95,GENERAL,119.97,34.1,22.29,GENERAL,121.06,34.12,20.73,GENERAL,118.74,35.78,16.92,GENERAL,115.1,38.12,20.49,GENERAL,123.39,36.18,17.69,GENERAL,116.76,28.02,50.0,220.8,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.956,21.928,21.949,21.942,21.944,21.956,21.928,0.028,475.67,241.03,233.84,240.15,255.0,255.0,340.0,340.0,213.13,268.85,323.66,268.59,-4.05,4.8,-2.55,1.8,1050.0,1050.0,1050.0,1050.0,-110.25,-280.32,-155.05,-199.46,1190.69,1190.0,1074.23,4200.0,-745.08,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8179
3,Distributed Heavy Compute,0,7,70.0,14,3,3,4,4,33.82,18.43,GENERAL,114.92,36.54,19.19,GENERAL,119.46,35.77,22.24,GENERAL,123.07,33.68,21.56,GENERAL,119.44,35.77,19.1,GENERAL,118.36,31.87,21.69,GENERAL,117.37,36.12,22.56,GENERAL,123.99,37.28,20.04,GENERAL,121.66,33.78,21.04,GENERAL,118.78,34.33,19.55,GENERAL,117.24,28.02,50.0,221.0,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.954,21.922,21.946,21.938,21.94,21.954,21.922,0.032,476.89,235.73,245.65,236.02,255.0,255.0,340.0,340.0,213.26,269.1,323.91,268.8,-4.72,5.6,-2.98,2.1,1050.0,1050.0,1050.0,1050.0,-109.57,-284.57,-143.42,-203.08,1194.29,1190.0,1075.07,4200.0,-740.64,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8322
3,Distributed Heavy Compute,0,8,80.0,14,3,3,4,4,38.38,17.61,GENERAL,119.39,38.15,18.54,GENERAL,120.5,34.48,17.74,GENERAL,114.71,37.39,23.12,GENERAL,126.42,34.48,21.21,GENERAL,119.91,37.15,20.16,GENERAL,121.68,37.49,22.3,GENERAL,125.31,34.57,18.38,GENERAL,115.78,31.55,21.65,GENERAL,116.91,31.67,20.59,GENERAL,115.47,28.03,50.0,221.1,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.952,21.916,21.943,21.934,21.936,21.952,21.916,0.036,481.02,241.59,241.09,232.38,255.0,255.0,340.0,340.0,213.54,269.51,324.27,269.17,-5.4,6.4,-3.4,2.4,1050.0,1050.0,1050.0,1050.0,-105.84,-277.5,-148.04,-206.05,1196.08,1190.0,1076.49,4200.0,-737.43,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8465
3,Distributed Heavy Compute,0,9,90.0,14,3,3,4,4,36.79,22.55,GENERAL,124.81,32.72,19.81,GENERAL,115.62,37.04,23.07,GENERAL,125.91,32.82,17.94,GENERAL,112.94,36.96,19.69,GENERAL,120.73,32.33,19.36,GENERAL,114.45,32.89,23.36,GENERAL,121.15,37.95,21.51,GENERAL,124.7,36.94,20.26,GENERAL,121.56,35.49,18.12,GENERAL,116.54,28.03,50.0,221.2,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,0.3,22.0,COOLING,21.95,21.91,21.94,21.93,21.933,21.95,21.91,0.04,479.28,235.18,245.85,238.1,255.0,255.0,340.0,340.0,213.63,269.7,324.42,269.31,-6.08,7.2,-3.83,2.7,1050.0,1050.0,1050.0,1050.0,-108.17,-282.92,-143.56,-199.89,1198.41,1190.0,1077.06,4200.0,-734.54,0.0,0.0,0.0,0.0,22.5,ECO_MAINTAIN,0.8613
