model_name,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mae_deg_c,rmse_deg_c,median_ae_deg_c,max_ae_deg_c,pct_within_0_25_c,pct_within_0_50_c,pct_within_1_00_c,train_time_sec
Baseline (Majority Target 24.0°C),validation,0.3857,0.1667,0.0643,0.1667,0.0928,0.2148,0.3723,0.5017,0.5,1.5,38.57,87.03,99.94,
Baseline (Constant Target 24.0°C),validation,0.3857,0.1667,0.0643,0.1667,0.0928,0.2148,0.3723,0.5017,0.5,1.5,38.57,87.03,99.94,
Logistic Regression,validation,0.67,0.4479,0.4817,0.3839,0.4197,0.7045,0.3424,0.6823,0.0,2.0,67.0,81.96,88.53,4.71
Random Forest,validation,0.7981,0.5442,0.5844,0.5442,0.538,0.7552,0.1009,0.2246,0.0,0.5,79.81,100.0,100.0,2.49
HistGradientBoosting,validation,0.7545,0.5425,0.5674,0.5425,0.5451,0.7294,0.1274,0.2658,0.0,1.5,75.45,99.54,99.54,1.35
