scenario_id,sim_time_s,time,ai_requested_c,applied_c,baseline_c,status,reason
4,6270.0,01:44:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6280.0,01:44:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6290.0,01:44:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6300.0,01:45:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6310.0,01:45:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6320.0,01:45:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6330.0,01:45:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6340.0,01:45:40,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6350.0,01:45:50,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6360.0,01:46:00,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6370.0,01:46:10,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6380.0,01:46:20,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6390.0,01:46:30,26.0,26.0,22.5,HYSTERESIS_HOLD,Delta (0.00°C) within hysteresis deadband (0.25°C)
4,6400.0,01:46:40,25.5,25.5,22.5,APPLIED,Validation passed
4,6410.0,01:46:50,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (10.0s / 60s, 50.0s remaining)"
4,6420.0,01:47:00,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (20.0s / 60s, 40.0s remaining)"
4,6430.0,01:47:10,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (30.0s / 60s, 30.0s remaining)"
4,6440.0,01:47:20,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (40.0s / 60s, 20.0s remaining)"
4,6450.0,01:47:30,26.0,25.5,22.5,HYSTERESIS_HOLD,"Minimum dwell active (50.0s / 60s, 10.0s remaining)"
4,6460.0,01:47:40,26.0,26.0,22.5,APPLIED,Validation passed
