model_name,val_accuracy,val_mae_deg_c,val_pct_within_0_5_c,val_macro_f1,val_weighted_f1,val_rmse_deg_c,val_max_ae_c,val_rare_24_5_recall,val_rare_26_5_recall,test_accuracy,test_mae_deg_c,test_pct_within_0_5_c,test_macro_f1
Majority Baseline,0.3413888888888889,0.4941,67.04,0.10180161524125078,0.17376970157152388,0.6418,1.0,0.0,0.0,,,,
25.5°C Baseline,0.3413888888888889,0.4941,67.04,0.10180161524125078,0.17376970157152388,0.6418,1.0,0.0,0.0,,,,
Logistic Regression,0.7925925925925926,0.1042,99.9,0.8074246347811517,0.7931647848638974,0.2294,1.0,1.0,0.4902,,,,
Random Forest,0.7998148148148149,0.1001,100.0,0.5746474987159025,0.7257393706163519,0.2237,0.5,1.0,0.0,0.7681481481481481,0.1164,99.91,0.6471353912849092
Gradient Boosting,0.7923148148148148,0.1039,99.98,0.5559430073309188,0.7154457128461126,0.2282,1.0,1.0,0.0022,,,,
